experiment_id,split,fixture_class,seed,family,fuel_regime,width,height,days,steps_per_day,role_lanes,udon_budget_ms,peer_budget_ticks,peer_tick_us_set,peer_mode,judge,traffic_model,peer_repo,peer_commit
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171108,balanced,low,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171109,rare-brand,low,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171110,threshold-corridor,low,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171111,fuel-tight,low,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171112,high-stock,low,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171113,overnight,low,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171210,balanced,default,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171211,rare-brand,default,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171212,threshold-corridor,default,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171213,fuel-tight,default,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171214,high-stock,default,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-large,171215,overnight,default,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-highfuel,171312,balanced,high,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-highfuel,171313,rare-brand,high,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-highfuel,171314,threshold-corridor,high,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-highfuel,171315,fuel-tight,high,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-highfuel,171316,high-stock,high,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-QUOTA-171,holdout,generated-btc-highfuel,171317,overnight,high,32,32,10,100,fixed-and-native,5000,200000|400000|800000,20|10|5,three-independent-quota-tracks-oracle-best-common-final,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
