experiment_id,split,fixture_class,seed,family,fuel_regime,width,height,days,steps_per_day,role_lanes,udon_budget_ms,peer_mode,judge,traffic_model,execution_order,peer_repo,peer_commit
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170105,overnight,low,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170202,balanced,default,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170203,rare-brand,default,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170204,threshold-corridor,default,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170205,fuel-tight,default,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170206,high-stock,default,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-large,170207,overnight,default,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-highfuel,170304,balanced,high,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-highfuel,170305,rare-brand,high,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-highfuel,170306,threshold-corridor,high,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-highfuel,170307,fuel-tight,high,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-highfuel,170308,high-stock,high,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
ATTR-OPPONENT-CEILING-170,holdout,generated-btc-highfuel,170309,overnight,high,32,32,10,100,fixed-and-native,5000,single-complete-attempt-no-cutoff,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-by-pair,lethinh26/Hexudon-2026,49e78066ea8b25a9d3cbe4baf56b390d4419eb75
